Company Name,Class Projects,"Speaking 
Engagements","Sponsored/
Hosted Events","Center/Institute 
Engagement","Advisory Board 
Engagement","Recruiting (0=no, 
1=yes)","Total 
Alumni",Prior Year Giving (FY18),"Prior 
3-year Giving ",Prior 10-Year,GIK,"Sponsored 
Research/Grants $",Score
Tesla,0,0,0,0,0,0,3,0,0,0,0,0,3
Constellation Brands,0,0,0,0,0,0,2,0,0,0,0,0,2
Darden Restaurants,0,0,0,0,0,0,1,0,0,1,0,0,2
Robert W. Baird & Co. Inc.,0,0,0,0,0,1,1,0,0,0,0,0,2
Tencent,0,0,0,0,0,0,2,0,0,0,0,0,2
ANF Group Inc. Construction and Development,0,0,0,0,0,0,1,0,0,0,0,0,1
Brookfield Properties / Brookwood Hotels,0,0,0,0,0,0,1,0,0,0,0,0,1
Chobani,0,0,0,0,0,0,1,0,0,0,0,0,1
Crimson Rock Cap,0,0,0,0,0,0,1,0,0,0,0,0,1
DPR Construction ,0,0,0,0,0,0,1,0,0,0,0,0,1
Durst Organization,0,0,0,0,0,0,1,0,0,0,0,0,1
Equity Multiple,0,0,0,0,0,0,1,0,0,0,0,0,1
G4 Capital,0,0,0,0,0,0,1,0,0,0,0,0,1
Gatehouse Capital,0,0,0,0,0,0,1,0,0,0,0,0,1
Housing Trust Group (HTG),0,0,0,0,0,0,1,0,0,0,0,0,1
Inspire Brands,0,0,0,0,0,0,1,0,0,0,0,0,1
KEF / Katerra,0,0,0,0,0,0,1,0,0,0,0,0,1
LWHA,0,0,0,0,0,0,1,0,0,0,0,0,1
Miami Worldcenter,0,0,0,0,0,0,1,0,0,0,0,0,1
PKF O'Connor Davies,0,0,0,0,0,0,1,0,0,0,0,0,1
The Palace Group,0,0,0,0,0,0,1,0,0,0,0,0,1
Time Hotel / Dream Hotel Group,0,0,0,0,0,0,1,0,0,0,0,0,1
Turnberry Associates,0,0,0,0,0,0,1,0,0,0,0,0,1
Yainlain,0,0,0,0,0,0,1,0,0,0,0,0,1
